mode,test id,chunk gap,epochs current,epochs,n_split_vnf1,n_combiner_vnf1,used chunk num,used data length,used data shape,cache time,processing time
0,1,0.002,1,50,2,1,32,8192,"[1, 64, 128]",0.064,0.606
0,1,0.002,1,50,2,1,32,8192,"[1, 64, 128]",0.064,0.52
0,1,0.002,2,50,2,1,32,8192,"[1, 64, 128]",0.064,0.467
0,1,0.002,2,50,2,1,32,8192,"[1, 64, 128]",0.065,0.448
0,1,0.002,3,50,2,1,32,8192,"[1, 64, 128]",0.064,0.466
0,1,0.002,3,50,2,1,32,8192,"[1, 64, 128]",0.065,0.453
0,1,0.002,4,50,2,1,32,8192,"[1, 64, 128]",0.064,0.474
0,1,0.002,4,50,2,1,32,8192,"[1, 64, 128]",0.065,0.494
0,1,0.002,5,50,2,1,32,8192,"[1, 64, 128]",0.111,0.428
0,1,0.002,5,50,2,1,32,8192,"[1, 64, 128]",0.072,0.46
0,1,0.002,6,50,2,1,32,8192,"[1, 64, 128]",0.064,0.475
0,1,0.002,6,50,2,1,32,8192,"[1, 64, 128]",0.073,0.456
0,1,0.002,7,50,2,1,32,8192,"[1, 64, 128]",0.064,0.462
0,1,0.002,7,50,2,1,32,8192,"[1, 64, 128]",0.065,0.544
0,1,0.002,8,50,2,1,32,8192,"[1, 64, 128]",0.064,0.47
0,1,0.002,8,50,2,1,32,8192,"[1, 64, 128]",0.069,0.456
0,1,0.002,9,50,2,1,32,8192,"[1, 64, 128]",0.083,0.454
0,1,0.002,9,50,2,1,32,8192,"[1, 64, 128]",0.087,0.47
0,1,0.002,10,50,2,1,32,8192,"[1, 64, 128]",0.064,0.468
0,1,0.002,10,50,2,1,32,8192,"[1, 64, 128]",0.065,0.455
0,1,0.002,11,50,2,1,32,8192,"[1, 64, 128]",0.064,0.492
0,1,0.002,11,50,2,1,32,8192,"[1, 64, 128]",0.068,0.463
0,1,0.002,12,50,2,1,32,8192,"[1, 64, 128]",0.069,0.472
0,1,0.002,12,50,2,1,32,8192,"[1, 64, 128]",0.066,0.493
0,1,0.002,13,50,2,1,32,8192,"[1, 64, 128]",0.064,0.466
0,1,0.002,13,50,2,1,32,8192,"[1, 64, 128]",0.068,0.49
0,1,0.002,14,50,2,1,32,8192,"[1, 64, 128]",0.064,0.505
0,1,0.002,14,50,2,1,32,8192,"[1, 64, 128]",0.072,0.505
0,1,0.002,15,50,2,1,32,8192,"[1, 64, 128]",0.064,0.503
0,1,0.002,15,50,2,1,32,8192,"[1, 64, 128]",0.065,0.513
0,1,0.002,16,50,2,1,32,8192,"[1, 64, 128]",0.064,0.534
0,1,0.002,16,50,2,1,32,8192,"[1, 64, 128]",0.047,0.51
0,1,0.002,17,50,2,1,32,8192,"[1, 64, 128]",0.064,0.514
0,1,0.002,17,50,2,1,32,8192,"[1, 64, 128]",0.035,0.513
0,1,0.002,18,50,2,1,32,8192,"[1, 64, 128]",0.064,0.509
0,1,0.002,18,50,2,1,32,8192,"[1, 64, 128]",0.064,0.524
0,1,0.002,19,50,2,1,32,8192,"[1, 64, 128]",0.065,0.54
0,1,0.002,19,50,2,1,32,8192,"[1, 64, 128]",0.037,0.506
0,1,0.002,20,50,2,1,32,8192,"[1, 64, 128]",0.076,0.467
0,1,0.002,20,50,2,1,32,8192,"[1, 64, 128]",0.07,0.511
0,1,0.002,21,50,2,1,32,8192,"[1, 64, 128]",0.064,0.462
0,1,0.002,21,50,2,1,32,8192,"[1, 64, 128]",0.066,0.452
0,1,0.002,22,50,2,1,32,8192,"[1, 64, 128]",0.064,0.469
0,1,0.002,22,50,2,1,32,8192,"[1, 64, 128]",0.065,0.473
0,1,0.002,23,50,2,1,32,8192,"[1, 64, 128]",0.064,0.473
0,1,0.002,23,50,2,1,32,8192,"[1, 64, 128]",0.065,0.429
0,1,0.002,24,50,2,1,32,8192,"[1, 64, 128]",0.064,0.462
0,1,0.002,24,50,2,1,32,8192,"[1, 64, 128]",0.066,0.454
0,1,0.002,25,50,2,1,32,8192,"[1, 64, 128]",0.064,0.473
0,1,0.002,25,50,2,1,32,8192,"[1, 64, 128]",0.064,0.491
0,1,0.002,26,50,2,1,32,8192,"[1, 64, 128]",0.076,0.458
0,1,0.002,26,50,2,1,32,8192,"[1, 64, 128]",0.064,0.48
0,1,0.002,27,50,2,1,32,8192,"[1, 64, 128]",0.075,0.465
0,1,0.002,27,50,2,1,32,8192,"[1, 64, 128]",0.071,0.442
