epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.796,2.7994
50,2,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.307,2.3089
50,3,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.285,2.2859
50,4,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.209,2.2096
50,5,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.282,2.2824
50,6,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.293,2.2955
50,7,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.307,2.3068
50,8,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.275,2.2767
50,9,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.204,2.2061
50,10,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.28,2.2804
50,11,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.393,2.3937
50,12,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.203,2.2041
50,13,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.312,2.3136
50,14,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.273,2.2736
50,15,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.292,2.2934
50,16,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.38,2.3811
50,17,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.313,2.3138
50,18,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.384,2.3846
50,19,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.369,2.3696
50,20,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.31,2.3121
50,21,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.279,2.2798
50,22,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.206,2.206
50,23,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.29,2.2902
50,24,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.285,2.2853
50,25,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.206,2.2068
50,26,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.192,2.1925
50,27,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.279,2.2797
50,28,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.295,2.2957
50,29,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.297,2.2993
50,30,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.2,2.2011
50,31,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.297,2.2975
50,32,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.194,2.1945
50,33,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.192,2.1927
50,34,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.383,2.3838
50,35,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.288,2.289
50,36,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.212,2.2128
50,37,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.277,2.2779
50,38,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.207,2.2069
50,39,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.281,2.2812
50,40,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.205,2.2055
50,41,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.282,2.2835
50,42,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.29,2.2904
50,43,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.3,2.3003
50,44,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.286,2.2864
50,45,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.294,2.2946
50,46,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.297,2.2984
50,47,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.289,2.2894
50,48,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.293,2.2939
50,49,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.292,2.293
50,50,1,0,0.002,2,1,1,1,1,1,1,1,1,1,2.294,2.2943
50,1,1,0,0.002,4,1,1,1,1,1,1,1,1,1,1.969,1.9695
50,2,1,0,0.002,4,1,1,1,1,1,1,1,1,1,1.904,1.9044
50,3,1,0,0.002,4,1,1,1,1,1,1,1,1,1,1.894,1.8958
50,4,1,0,0.002,4,1,1,1,1,1,1,1,1,1,1.893,1.8941
50,5,1,0,0.002,4,1,1,1,1,1,1,1,1,1,1.894,1.8946
