mode,test id,chunk gap,epochs current,epochs,n_split_vnf0,n_combiner_vnf0,used chunk num,used data length,used data shape,cache time,processing time
0,1,0.002,1,50,2,1,128,32768,"[1, 1, 32768]",0.326,0.881
0,1,0.002,1,50,2,1,128,32768,"[1, 1, 32768]",0.28,0.626
0,1,0.002,2,50,2,1,128,32768,"[1, 1, 32768]",0.279,0.633
0,1,0.002,2,50,2,1,128,32768,"[1, 1, 32768]",0.282,0.513
0,1,0.002,3,50,2,1,128,32768,"[1, 1, 32768]",0.268,0.631
0,1,0.002,3,50,2,1,128,32768,"[1, 1, 32768]",0.303,0.503
0,1,0.002,4,50,2,1,128,32768,"[1, 1, 32768]",0.266,0.561
0,1,0.002,4,50,2,1,128,32768,"[1, 1, 32768]",0.28,0.517
0,1,0.002,5,50,2,1,128,32768,"[1, 1, 32768]",0.268,0.591
0,1,0.002,5,50,2,1,128,32768,"[1, 1, 32768]",0.281,0.523
0,1,0.002,6,50,2,1,128,32768,"[1, 1, 32768]",0.267,0.56
0,1,0.002,6,50,2,1,128,32768,"[1, 1, 32768]",0.281,0.565
0,1,0.002,7,50,2,1,128,32768,"[1, 1, 32768]",0.269,0.625
0,1,0.002,7,50,2,1,128,32768,"[1, 1, 32768]",0.28,0.502
0,1,0.002,8,50,2,1,128,32768,"[1, 1, 32768]",0.266,0.618
0,1,0.002,8,50,2,1,128,32768,"[1, 1, 32768]",0.302,0.504
0,1,0.002,9,50,2,1,128,32768,"[1, 1, 32768]",0.271,0.574
0,1,0.002,9,50,2,1,128,32768,"[1, 1, 32768]",0.28,0.525
0,1,0.002,10,50,2,1,128,32768,"[1, 1, 32768]",0.267,0.626
0,1,0.002,10,50,2,1,128,32768,"[1, 1, 32768]",0.275,0.502
0,1,0.002,11,50,2,1,128,32768,"[1, 1, 32768]",0.273,0.584
0,1,0.002,11,50,2,1,128,32768,"[1, 1, 32768]",0.211,0.569
0,1,0.002,12,50,2,1,128,32768,"[1, 1, 32768]",0.266,0.565
