t0,t1
1718911179.858845,1718911181.0779362
1718911186.4393938,1718911187.3623827
1718911192.3386607,1718911193.24619
1718911198.1037695,1718911199.1562557
1718911204.059244,1718911204.956241
1718911209.8832994,1718911210.859138
1718911215.7749305,1718911216.835193
1718911221.8275824,1718911222.7567124
1718911227.7127721,1718911228.6462564
1718911233.49151,1718911234.4362943
1718911239.4314287,1718911240.3568096
1718911245.1831772,1718911246.1454768
1718911251.07978,1718911252.0460258
1718911256.9456186,1718911257.9449856
1718911262.8957121,1718911263.7588844
1718911268.551434,1718911269.5356083
1718911274.3841019,1718911275.2706563
1718911280.1101263,1718911281.0443966
1718911285.8621323,1718911286.8351274
1718911291.8330448,1718911292.7612586
1718911297.7268395,1718911298.6397686
1718911303.3841214,1718911304.3354595
1718911309.078772,1718911310.0405152
1718911314.8763256,1718911317.1515067
1718911321.982045,1718911322.8528533
1718911327.7220263,1718911328.7585776
1718911333.659291,1718911334.558163
1718911339.4704456,1718911340.4574635
1718911345.3738363,1718911346.3548992
1718911351.254172,1718911352.1663852
