t0,t1
1718911179.162108,1718911182.3688498
1718911185.6635003,1718911188.1637099
1718911191.569488,1718911194.0730138
1718911197.3666983,1718911199.9716024
1718911203.3464744,1718911205.7647834
1718911209.1524858,1718911211.7154608
1718911215.055674,1718911217.7258496
1718911221.0813687,1718911223.5860538
1718911226.982181,1718911229.4656696
1718911232.7616973,1718911235.2808957
1718911238.6570039,1718911241.164137
1718911244.466791,1718911247.0015562
1718911250.366435,1718911252.8695354
1718911256.1629264,1718911258.7653186
1718911262.1445386,1718911264.5697415
1718911267.863313,1718911270.363161
1718911273.665357,1718911276.070487
1718911279.366769,1718911281.8663752
1718911285.1584656,1718911287.669377
1718911291.1056092,1718911293.6160233
1718911296.9718373,1718911299.3722544
1718911302.662038,1718911305.0642653
1718911308.36875,1718911310.8761237
1718911314.1664908,1718911317.96015
1718911321.260722,1718911323.6622076
1718911326.9647377,1718911329.5892546
1718911332.976939,1718911335.4311323
1718911338.761678,1718911341.279792
1718911344.658352,1718911347.1751742
1718911350.5490978,1718911352.966078
