t0,t1
1718911181.9678683,1718911182.2439294
1718911187.9752448,1718911188.0582151
1718911193.8759978,1718911193.957219
1718911199.7789838,1718911199.862823
1718911205.56089,1718911205.658976
1718911211.4840288,1718911211.5586028
1718911217.4693372,1718911217.608456
1718911223.3639793,1718911223.454831
1718911229.267898,1718911229.3529499
1718911235.05716,1718911235.1531825
1718911240.9548147,1718911241.0537126
1718911246.7788928,1718911246.8591757
1718911252.6538887,1718911252.7561553
1718911258.5558715,1718911258.6563814
1718911264.361638,1718911264.4555697
1718911270.159328,1718911270.2539928
1718911275.871787,1718911275.9629052
1718911281.6589262,1718911281.7585359
1718911287.4572,1718911287.560656
1718911293.3577383,1718911293.4542723
1718911299.1794221,1718911299.2627876
1718911304.8744328,1718911304.9568775
1718911310.6650984,1718911310.768882
1718911317.7547255,1718911317.8504243
1718911323.459605,1718911323.554577
1718911329.385145,1718911329.4711561
1718911335.1622622,1718911335.2668064
1718911341.0636363,1718911341.1625168
1718911346.9711018,1718911347.0591536
1718911352.7622383,1718911352.8557513
