epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.383,3.3837
50,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.192,3.1932
50,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.121,3.1217
50,4,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.146,3.1473
50,5,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.272,3.2732
50,6,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.137,3.1381
50,7,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.153,3.1537
50,8,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.053,3.0537
50,9,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.138,3.1385
50,10,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.121,3.1216
50,11,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.127,3.1274
50,12,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.531,3.5314
50,13,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.121,3.1215
50,14,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.123,3.1237
50,15,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.145,3.1453
50,16,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.138,3.1391
50,17,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.098,3.0985
50,18,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.164,3.165
50,19,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.213,3.214
50,20,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.093,3.0933
50,21,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.09,3.091
50,22,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.097,3.0979
50,23,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.093,3.093
50,24,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.167,3.1675
50,25,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.197,3.1975
50,26,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.192,3.1927
50,27,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.115,3.1153
50,28,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.09,3.0909
50,29,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.196,3.1962
50,30,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.177,3.178
50,31,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.183,3.1839
50,32,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.224,3.2249
50,33,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.158,3.1583
50,34,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.125,3.1254
50,35,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.131,3.132
50,36,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.056,3.0564
50,37,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.093,3.094
50,38,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.228,3.2288
50,39,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.229,3.2296
50,40,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.122,3.1231
50,41,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.137,3.1378
50,42,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.048,3.0483
50,43,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.165,3.1659
50,44,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.12,3.1213
50,45,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.094,3.0953
50,46,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.165,3.1657
50,47,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.191,3.192
50,48,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.412,3.4123
50,49,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.197,3.1975
50,50,3,0,0.002,1,1,1,1,1,1,1,1,1,1,3.091,3.0918
