mode,test id,chunk gap,epochs current,epochs,n_split_vnf2,n_combiner_vnf2,used chunk num,used data length,used data shape,cache time,processing time
0,3,0.002,1,50,1,1,40,10240,"[1, 160, 64]",0.081,0.502
0,3,0.002,2,50,1,1,40,10240,"[1, 160, 64]",0.081,0.499
0,3,0.002,3,50,1,1,40,10240,"[1, 160, 64]",0.081,0.442
0,3,0.002,4,50,1,1,40,10240,"[1, 160, 64]",0.081,0.496
0,3,0.002,5,50,1,1,40,10240,"[1, 160, 64]",0.088,0.467
0,3,0.002,6,50,1,1,40,10240,"[1, 160, 64]",0.085,0.503
0,3,0.002,7,50,1,1,40,10240,"[1, 160, 64]",0.081,0.475
0,3,0.002,8,50,1,1,40,10240,"[1, 160, 64]",0.081,0.433
0,3,0.002,9,50,1,1,40,10240,"[1, 160, 64]",0.081,0.482
0,3,0.002,10,50,1,1,40,10240,"[1, 160, 64]",0.081,0.515
0,3,0.002,11,50,1,1,40,10240,"[1, 160, 64]",0.081,0.453
0,3,0.002,12,50,1,1,40,10240,"[1, 160, 64]",0.081,0.484
0,3,0.002,13,50,1,1,40,10240,"[1, 160, 64]",0.081,0.513
0,3,0.002,14,50,1,1,40,10240,"[1, 160, 64]",0.081,0.446
0,3,0.002,15,50,1,1,40,10240,"[1, 160, 64]",0.081,0.495
0,3,0.002,16,50,1,1,40,10240,"[1, 160, 64]",0.081,0.447
0,3,0.002,17,50,1,1,40,10240,"[1, 160, 64]",0.081,0.451
0,3,0.002,18,50,1,1,40,10240,"[1, 160, 64]",0.087,0.507
0,3,0.002,19,50,1,1,40,10240,"[1, 160, 64]",0.081,0.441
0,3,0.002,20,50,1,1,40,10240,"[1, 160, 64]",0.081,0.442
0,3,0.002,21,50,1,1,40,10240,"[1, 160, 64]",0.081,0.445
0,3,0.002,22,50,1,1,40,10240,"[1, 160, 64]",0.081,0.447
0,3,0.002,23,50,1,1,40,10240,"[1, 160, 64]",0.081,0.446
0,3,0.002,24,50,1,1,40,10240,"[1, 160, 64]",0.097,0.49
0,3,0.002,25,50,1,1,40,10240,"[1, 160, 64]",0.085,0.512
0,3,0.002,26,50,1,1,40,10240,"[1, 160, 64]",0.083,0.516
0,3,0.002,27,50,1,1,40,10240,"[1, 160, 64]",0.081,0.437
0,3,0.002,28,50,1,1,40,10240,"[1, 160, 64]",0.081,0.434
0,3,0.002,29,50,1,1,40,10240,"[1, 160, 64]",0.081,0.445
0,3,0.002,30,50,1,1,40,10240,"[1, 160, 64]",0.081,0.51
0,3,0.002,31,50,1,1,40,10240,"[1, 160, 64]",0.081,0.512
0,3,0.002,32,50,1,1,40,10240,"[1, 160, 64]",0.086,0.448
0,3,0.002,33,50,1,1,40,10240,"[1, 160, 64]",0.081,0.497
0,3,0.002,34,50,1,1,40,10240,"[1, 160, 64]",0.081,0.442
0,3,0.002,35,50,1,1,40,10240,"[1, 160, 64]",0.081,0.481
0,3,0.002,36,50,1,1,40,10240,"[1, 160, 64]",0.081,0.441
0,3,0.002,37,50,1,1,40,10240,"[1, 160, 64]",0.081,0.443
0,3,0.002,38,50,1,1,40,10240,"[1, 160, 64]",0.082,0.478
0,3,0.002,39,50,1,1,40,10240,"[1, 160, 64]",0.081,0.505
0,3,0.002,40,50,1,1,40,10240,"[1, 160, 64]",0.081,0.44
0,3,0.002,41,50,1,1,40,10240,"[1, 160, 64]",0.081,0.488
0,3,0.002,42,50,1,1,40,10240,"[1, 160, 64]",0.081,0.445
0,3,0.002,43,50,1,1,40,10240,"[1, 160, 64]",0.081,0.507
0,3,0.002,44,50,1,1,40,10240,"[1, 160, 64]",0.084,0.438
0,3,0.002,45,50,1,1,40,10240,"[1, 160, 64]",0.081,0.442
0,3,0.002,46,50,1,1,40,10240,"[1, 160, 64]",0.081,0.503
0,3,0.002,47,50,1,1,40,10240,"[1, 160, 64]",0.081,0.502
0,3,0.002,48,50,1,1,40,10240,"[1, 160, 64]",0.142,0.458
0,3,0.002,49,50,1,1,40,10240,"[1, 160, 64]",0.081,0.445
0,3,0.002,50,50,1,1,40,10240,"[1, 160, 64]",0.081,0.442
