mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
0,3,0.002,1,50,1,1,18,4,4,0.035,0.0
0,3,0.002,2,50,1,1,18,4,4,0.035,0.0
0,3,0.002,3,50,1,1,18,4,4,0.035,0.0
0,3,0.002,4,50,1,1,18,4,4,0.088,0.0
0,3,0.002,5,50,1,1,18,4,4,0.069,0.0
0,3,0.002,6,50,1,1,18,4,4,0.035,0.0
0,3,0.002,7,50,1,1,18,4,4,0.069,0.0
0,3,0.002,8,50,1,1,18,4,4,0.035,0.0
0,3,0.002,9,50,1,1,18,4,4,0.075,0.0
0,3,0.002,10,50,1,1,18,4,4,0.035,0.0
0,3,0.002,11,50,1,1,18,4,4,0.041,0.0
0,3,0.002,12,50,1,1,18,4,4,0.077,0.0
0,3,0.002,13,50,1,1,18,4,4,0.035,0.0
0,3,0.002,14,50,1,1,18,4,4,0.035,0.0
0,3,0.002,15,50,1,1,18,4,4,0.089,0.0
0,3,0.002,16,50,1,1,18,4,4,0.035,0.0
0,3,0.002,17,50,1,1,18,4,4,0.04,0.0
0,3,0.002,18,50,1,1,18,4,4,0.035,0.0
0,3,0.002,19,50,1,1,18,4,4,0.035,0.0
0,3,0.002,20,50,1,1,18,4,4,0.035,0.0
0,3,0.002,21,50,1,1,18,4,4,0.035,0.0
0,3,0.002,22,50,1,1,18,4,4,0.035,0.0
0,3,0.002,23,50,1,1,18,4,4,0.035,0.0
0,3,0.002,24,50,1,1,18,4,4,0.035,0.0
0,3,0.002,25,50,1,1,18,4,4,0.035,0.0
0,3,0.002,26,50,1,1,18,4,4,0.035,0.0
0,3,0.002,27,50,1,1,18,4,4,0.035,0.0
0,3,0.002,28,50,1,1,18,4,4,0.035,0.0
0,3,0.002,29,50,1,1,18,4,4,0.035,0.0
0,3,0.002,30,50,1,1,18,4,4,0.036,0.0
0,3,0.002,31,50,1,1,18,4,4,0.036,0.0
0,3,0.002,32,50,1,1,18,4,4,0.035,0.0
0,3,0.002,33,50,1,1,18,4,4,0.1,0.0
0,3,0.002,34,50,1,1,18,4,4,0.035,0.0
0,3,0.002,35,50,1,1,18,4,4,0.074,0.0
0,3,0.002,36,50,1,1,18,4,4,0.035,0.0
0,3,0.002,37,50,1,1,18,4,4,0.036,0.0
0,3,0.002,38,50,1,1,18,4,4,0.071,0.0
0,3,0.002,39,50,1,1,18,4,4,0.035,0.0
0,3,0.002,40,50,1,1,18,4,4,0.035,0.0
0,3,0.002,41,50,1,1,18,4,4,0.08,0.0
0,3,0.002,42,50,1,1,18,4,4,0.035,0.0
0,3,0.002,43,50,1,1,18,4,4,0.035,0.0
0,3,0.002,44,50,1,1,18,4,4,0.035,0.0
0,3,0.002,45,50,1,1,18,4,4,0.036,0.0
0,3,0.002,46,50,1,1,18,4,4,0.035,0.0
0,3,0.002,47,50,1,1,18,4,4,0.035,0.0
0,3,0.002,48,50,1,1,18,4,4,0.035,0.0
0,3,0.002,49,50,1,1,18,4,4,0.035,0.0
0,3,0.002,50,50,1,1,18,4,4,0.035,0.0
