epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.282,3.1307
50,2,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.141,2.8938
50,3,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.122,2.8939
50,4,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.152,2.8966
50,5,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.119,2.9
50,6,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.148,3.0847
50,7,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.211,2.9975
50,8,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.172,2.907
50,9,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.155,2.8787
50,10,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.137,2.8868
50,11,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.137,2.8936
50,12,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.125,2.8927
50,13,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.126,3.0023
50,14,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.13,2.8966
50,15,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.137,2.8895
50,16,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.12,2.885
50,17,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.135,2.8935
50,18,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.209,2.9168
50,19,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.207,3.0754
50,20,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.126,2.8903
50,21,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.234,3.006
50,22,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.148,2.8953
50,23,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.126,2.8843
50,24,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.254,3.0891
50,25,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.215,2.9894
50,26,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.146,2.8996
50,27,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.13,2.8972
50,28,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.117,2.8882
50,29,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.309,3.0906
50,30,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.139,2.9053
50,31,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.144,2.8912
50,32,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.152,2.895
50,33,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.304,3.0089
50,34,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.112,2.8748
50,35,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.225,2.9995
50,36,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.116,2.878
50,37,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.132,2.8953
50,38,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.253,2.9986
50,39,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.176,2.8986
50,40,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.13,2.8823
50,41,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.14,2.8925
50,42,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.135,2.8909
50,43,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.125,2.8197
50,44,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.107,2.8684
50,45,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.138,2.8997
50,46,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.122,2.8898
50,47,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.126,2.8884
50,48,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.136,2.8972
50,49,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.128,2.8902
50,50,2,1,0.002,1,1,1,1,1,1,1,1,1,1,2.144,2.8972
