t0,t1
1718910045.3042912,1718910046.660879
1718910050.9944355,1718910052.0362082
1718910056.2744853,1718910057.2833729
1718910061.4417484,1718910062.4569352
1718910066.6785173,1718910067.7465305
1718910071.94315,1718910072.958217
1718910077.1938908,1718910078.2551086
1718910082.5850294,1718910083.5531962
1718910087.8739986,1718910088.8608537
1718910093.210915,1718910094.1566403
1718910098.407249,1718910099.36403
1718910103.6101809,1718910104.55746
1718910108.7434742,1718910109.7525604
1718910114.0263205,1718910115.0355344
1718910119.218025,1718910120.1652567
1718910124.3733833,1718910125.3541114
1718910129.7056408,1718910130.7563887
1718910135.020789,1718910136.0425584
1718910140.3836722,1718910141.4719691
1718910145.843384,1718910146.8476853
1718910151.0790331,1718910152.0586128
1718910156.2509542,1718910157.3532557
1718910161.6108234,1718910162.5591915
1718910166.7639277,1718910167.864409
1718910172.098086,1718910173.0672035
1718910177.4193578,1718910178.438953
1718910182.7771323,1718910183.8351533
1718910188.1834352,1718910189.163573
1718910193.3914137,1718910194.362999
1718910198.634688,1718910199.6508074
