t0,t1
1718910046.789987,0
1718910052.119439,0
1718910057.3832037,0
1718910062.5515459,0
1718910067.8287206,0
1718910073.0374577,0
1718910078.3497682,0
1718910083.7311034,0
1718910088.9449952,0
1718910094.2396808,0
1718910099.4973345,0
1718910104.638891,0
1718910109.8348184,0
1718910115.1135092,0
1718910120.271226,0
1718910125.430682,0
1718910130.8442194,0
1718910136.1247447,0
1718910141.5883627,0
1718910146.9296212,0
1718910152.1427348,0
1718910157.4369261,0
1718910162.642595,0
1718910167.949087,0
1718910173.2071705,0
1718910178.520846,0
1718910183.9181933,0
1718910189.2767582,0
1718910194.444136,0
1718910199.731776,0
