mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
0,2,0.002,1,50,1,1,256,65536,"[1, 1, 65536]",0.611,1.093
0,2,0.002,1,50,1,1,0,16384,"[1, 64, 256]",0.0,0.885
0,2,0.002,1,50,1,1,0,10240,"[1, 160, 64]",0.0,0.413
0,2,0.002,1,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,2,50,1,1,256,65536,"[1, 1, 65536]",0.553,0.602
0,2,0.002,2,50,1,1,0,16384,"[1, 64, 256]",0.0,0.796
0,2,0.002,2,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,2,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,3,50,1,1,256,65536,"[1, 1, 65536]",0.552,0.598
0,2,0.002,3,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,3,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,3,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,4,50,1,1,256,65536,"[1, 1, 65536]",0.534,0.602
0,2,0.002,4,50,1,1,0,16384,"[1, 64, 256]",0.0,0.797
0,2,0.002,4,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,4,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,5,50,1,1,256,65536,"[1, 1, 65536]",0.535,0.597
0,2,0.002,5,50,1,1,0,16384,"[1, 64, 256]",0.0,0.795
0,2,0.002,5,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,5,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.001
0,2,0.002,6,50,1,1,256,65536,"[1, 1, 65536]",0.537,0.599
0,2,0.002,6,50,1,1,0,16384,"[1, 64, 256]",0.0,0.876
0,2,0.002,6,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,6,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,7,50,1,1,256,65536,"[1, 1, 65536]",0.533,0.601
0,2,0.002,7,50,1,1,0,16384,"[1, 64, 256]",0.0,0.795
0,2,0.002,7,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,7,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,8,50,1,1,256,65536,"[1, 1, 65536]",0.537,0.6
0,2,0.002,8,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,8,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,8,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,9,50,1,1,256,65536,"[1, 1, 65536]",0.537,0.599
0,2,0.002,9,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,9,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,9,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,10,50,1,1,256,65536,"[1, 1, 65536]",0.537,0.599
0,2,0.002,10,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,10,50,1,1,0,10240,"[1, 160, 64]",0.0,0.481
0,2,0.002,10,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,11,50,1,1,256,65536,"[1, 1, 65536]",0.535,0.683
0,2,0.002,11,50,1,1,0,16384,"[1, 64, 256]",0.0,0.798
0,2,0.002,11,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,11,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,12,50,1,1,256,65536,"[1, 1, 65536]",0.545,0.602
0,2,0.002,12,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,12,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,12,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,13,50,1,1,256,65536,"[1, 1, 65536]",0.547,0.528
0,2,0.002,13,50,1,1,0,16384,"[1, 64, 256]",0.0,0.887
0,2,0.002,13,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,13,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.072
0,2,0.002,14,50,1,1,256,65536,"[1, 1, 65536]",0.55,0.597
0,2,0.002,14,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,14,50,1,1,0,10240,"[1, 160, 64]",0.0,0.483
0,2,0.002,14,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,15,50,1,1,256,65536,"[1, 1, 65536]",0.542,0.597
0,2,0.002,15,50,1,1,0,16384,"[1, 64, 256]",0.0,0.798
0,2,0.002,15,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,15,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,16,50,1,1,256,65536,"[1, 1, 65536]",0.543,0.6
0,2,0.002,16,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,16,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,16,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,17,50,1,1,256,65536,"[1, 1, 65536]",0.538,0.598
0,2,0.002,17,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,17,50,1,1,0,10240,"[1, 160, 64]",0.0,0.48
0,2,0.002,17,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,18,50,1,1,256,65536,"[1, 1, 65536]",0.536,0.599
0,2,0.002,18,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,18,50,1,1,0,10240,"[1, 160, 64]",0.0,0.48
0,2,0.002,18,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,19,50,1,1,256,65536,"[1, 1, 65536]",0.544,0.62
0,2,0.002,19,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,19,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,19,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,20,50,1,1,256,65536,"[1, 1, 65536]",0.547,0.67
0,2,0.002,20,50,1,1,0,16384,"[1, 64, 256]",0.0,0.729
0,2,0.002,20,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,20,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,21,50,1,1,256,65536,"[1, 1, 65536]",0.549,0.607
0,2,0.002,21,50,1,1,0,16384,"[1, 64, 256]",0.0,0.805
0,2,0.002,21,50,1,1,0,10240,"[1, 160, 64]",0.0,0.409
0,2,0.002,21,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,22,50,1,1,256,65536,"[1, 1, 65536]",0.55,0.528
0,2,0.002,22,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,22,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,22,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,23,50,1,1,256,65536,"[1, 1, 65536]",0.559,0.599
0,2,0.002,23,50,1,1,0,16384,"[1, 64, 256]",0.0,0.802
0,2,0.002,23,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,23,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,24,50,1,1,256,65536,"[1, 1, 65536]",0.552,0.599
0,2,0.002,24,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,24,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,24,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,25,50,1,1,256,65536,"[1, 1, 65536]",0.537,0.599
0,2,0.002,25,50,1,1,0,16384,"[1, 64, 256]",0.0,0.797
0,2,0.002,25,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,25,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.074
0,2,0.002,26,50,1,1,256,65536,"[1, 1, 65536]",0.538,0.599
0,2,0.002,26,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,26,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,26,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,27,50,1,1,256,65536,"[1, 1, 65536]",0.541,0.596
0,2,0.002,27,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,27,50,1,1,0,10240,"[1, 160, 64]",0.0,0.481
0,2,0.002,27,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,28,50,1,1,256,65536,"[1, 1, 65536]",0.542,0.598
0,2,0.002,28,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,28,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,28,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,29,50,1,1,256,65536,"[1, 1, 65536]",0.538,0.601
0,2,0.002,29,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,29,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,29,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,30,50,1,1,256,65536,"[1, 1, 65536]",0.541,0.596
0,2,0.002,30,50,1,1,0,16384,"[1, 64, 256]",0.0,0.889
0,2,0.002,30,50,1,1,0,10240,"[1, 160, 64]",0.0,0.412
0,2,0.002,30,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,31,50,1,1,256,65536,"[1, 1, 65536]",0.533,0.682
0,2,0.002,31,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,31,50,1,1,0,10240,"[1, 160, 64]",0.0,0.412
0,2,0.002,31,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,32,50,1,1,256,65536,"[1, 1, 65536]",0.552,0.604
0,2,0.002,32,50,1,1,0,16384,"[1, 64, 256]",0.0,0.802
0,2,0.002,32,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,32,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,33,50,1,1,256,65536,"[1, 1, 65536]",0.559,0.606
0,2,0.002,33,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,33,50,1,1,0,10240,"[1, 160, 64]",0.0,0.409
0,2,0.002,33,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.071
0,2,0.002,34,50,1,1,256,65536,"[1, 1, 65536]",0.591,0.604
0,2,0.002,34,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,34,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,34,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,35,50,1,1,256,65536,"[1, 1, 65536]",0.57,0.617
0,2,0.002,35,50,1,1,0,16384,"[1, 64, 256]",0.0,0.8
0,2,0.002,35,50,1,1,0,10240,"[1, 160, 64]",0.0,0.48
0,2,0.002,35,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,36,50,1,1,256,65536,"[1, 1, 65536]",0.548,0.602
0,2,0.002,36,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,36,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,36,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,37,50,1,1,256,65536,"[1, 1, 65536]",0.536,0.595
0,2,0.002,37,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,37,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,37,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,38,50,1,1,256,65536,"[1, 1, 65536]",0.539,0.597
0,2,0.002,38,50,1,1,0,16384,"[1, 64, 256]",0.0,0.803
0,2,0.002,38,50,1,1,0,10240,"[1, 160, 64]",0.0,0.478
0,2,0.002,38,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,39,50,1,1,256,65536,"[1, 1, 65536]",0.542,0.6
0,2,0.002,39,50,1,1,0,16384,"[1, 64, 256]",0.0,0.901
0,2,0.002,39,50,1,1,0,10240,"[1, 160, 64]",0.0,0.481
0,2,0.002,39,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,40,50,1,1,256,65536,"[1, 1, 65536]",0.541,0.601
0,2,0.002,40,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,40,50,1,1,0,10240,"[1, 160, 64]",0.0,0.481
0,2,0.002,40,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,41,50,1,1,256,65536,"[1, 1, 65536]",0.536,0.602
0,2,0.002,41,50,1,1,0,16384,"[1, 64, 256]",0.0,0.803
0,2,0.002,41,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,41,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,42,50,1,1,256,65536,"[1, 1, 65536]",0.535,0.603
0,2,0.002,42,50,1,1,0,16384,"[1, 64, 256]",0.0,0.872
0,2,0.002,42,50,1,1,0,10240,"[1, 160, 64]",0.0,0.408
0,2,0.002,42,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,43,50,1,1,256,65536,"[1, 1, 65536]",0.551,0.67
0,2,0.002,43,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,43,50,1,1,0,10240,"[1, 160, 64]",0.0,0.409
0,2,0.002,43,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,44,50,1,1,256,65536,"[1, 1, 65536]",0.562,0.602
0,2,0.002,44,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,44,50,1,1,0,10240,"[1, 160, 64]",0.0,0.409
0,2,0.002,44,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,45,50,1,1,256,65536,"[1, 1, 65536]",0.546,0.603
0,2,0.002,45,50,1,1,0,16384,"[1, 64, 256]",0.0,0.797
0,2,0.002,45,50,1,1,0,10240,"[1, 160, 64]",0.0,0.411
0,2,0.002,45,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,46,50,1,1,256,65536,"[1, 1, 65536]",0.56,0.53
0,2,0.002,46,50,1,1,0,16384,"[1, 64, 256]",0.0,0.794
0,2,0.002,46,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,46,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.001
0,2,0.002,47,50,1,1,256,65536,"[1, 1, 65536]",0.561,0.531
0,2,0.002,47,50,1,1,0,16384,"[1, 64, 256]",0.0,0.799
0,2,0.002,47,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,47,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,48,50,1,1,256,65536,"[1, 1, 65536]",0.541,0.527
0,2,0.002,48,50,1,1,0,16384,"[1, 64, 256]",0.0,0.802
0,2,0.002,48,50,1,1,0,10240,"[1, 160, 64]",0.0,0.482
0,2,0.002,48,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,49,50,1,1,256,65536,"[1, 1, 65536]",0.536,0.599
0,2,0.002,49,50,1,1,0,16384,"[1, 64, 256]",0.0,0.871
0,2,0.002,49,50,1,1,0,10240,"[1, 160, 64]",0.0,0.41
0,2,0.002,49,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
0,2,0.002,50,50,1,1,256,65536,"[1, 1, 65536]",0.539,0.6
0,2,0.002,50,50,1,1,0,16384,"[1, 64, 256]",0.0,0.801
0,2,0.002,50,50,1,1,0,10240,"[1, 160, 64]",0.0,0.479
0,2,0.002,50,50,1,1,0,81920,"[1, 1280, 64]",0.0,0.002
