mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
1,1,0.002,1,50,2,1,2,64,64,0.947,0.0
1,1,0.002,2,50,2,1,2,64,64,0.992,0.0
1,1,0.002,3,50,2,1,2,64,64,0.986,0.0
1,1,0.002,4,50,2,1,2,64,64,0.987,0.0
1,1,0.002,5,50,2,1,2,64,64,0.886,0.0
1,1,0.002,6,50,2,1,2,64,64,0.996,0.0
1,1,0.002,7,50,2,1,2,64,64,1.082,0.0
1,1,0.002,8,50,2,1,2,64,64,0.984,0.0
1,1,0.002,9,50,2,1,2,64,64,0.986,0.0
1,1,0.002,10,50,2,1,2,64,64,0.971,0.0
1,1,0.002,11,50,2,1,2,64,64,0.95,0.0
1,1,0.002,12,50,2,1,2,64,64,0.982,0.0
1,1,0.002,13,50,2,1,2,64,64,0.98,0.0
1,1,0.002,14,50,2,1,2,64,64,0.989,0.0
1,1,0.002,15,50,2,1,2,64,64,0.962,0.0
1,1,0.002,16,50,2,1,2,64,64,0.964,0.0
1,1,0.002,17,50,2,1,2,64,64,0.988,0.0
1,1,0.002,18,50,2,1,2,64,64,0.978,0.0
1,1,0.002,19,50,2,1,2,64,64,0.984,0.0
1,1,0.002,20,50,2,1,2,64,64,1.001,0.0
1,1,0.002,21,50,2,1,2,64,64,0.994,0.0
1,1,0.002,22,50,2,1,2,64,64,0.988,0.0
1,1,0.002,23,50,2,1,2,64,64,0.969,0.0
1,1,0.002,24,50,2,1,2,64,64,0.937,0.0
1,1,0.002,25,50,2,1,2,64,64,0.917,0.0
1,1,0.002,26,50,2,1,2,64,64,0.988,0.0
1,1,0.002,27,50,2,1,2,64,64,0.989,0.0
1,1,0.002,28,50,2,1,2,64,64,1.005,0.0
1,1,0.002,29,50,2,1,2,64,64,0.95,0.0
1,1,0.002,30,50,2,1,2,64,64,0.984,0.0
1,1,0.002,31,50,2,1,2,64,64,0.905,0.0
1,1,0.002,32,50,2,1,2,64,64,0.989,0.0
1,1,0.002,33,50,2,1,2,64,64,1.004,0.0
1,1,0.002,34,50,2,1,2,64,64,0.996,0.0
1,1,0.002,35,50,2,1,2,64,64,0.989,0.0
1,1,0.002,36,50,2,1,2,64,64,0.995,0.0
1,1,0.002,37,50,2,1,2,64,64,0.909,0.0
1,1,0.002,38,50,2,1,2,64,64,0.977,0.0
1,1,0.002,39,50,2,1,2,64,64,0.965,0.0
1,1,0.002,40,50,2,1,2,64,64,0.99,0.0
1,1,0.002,41,50,2,1,2,64,64,0.828,0.0
1,1,0.002,42,50,2,1,2,64,64,0.97,0.0
1,1,0.002,43,50,2,1,2,64,64,0.902,0.0
1,1,0.002,44,50,2,1,2,64,64,0.897,0.0
1,1,0.002,45,50,2,1,2,64,64,0.986,0.0
1,1,0.002,46,50,2,1,2,64,64,0.915,0.0
1,1,0.002,47,50,2,1,2,64,64,0.97,0.0
1,1,0.002,48,50,2,1,2,64,64,0.987,0.0
1,1,0.002,49,50,2,1,2,64,64,0.96,0.0
1,1,0.002,50,50,2,1,2,64,64,0.989,0.0
1,1,0.002,1,50,4,1,4,64,64,1.383,0.0
1,1,0.002,2,50,4,1,4,64,64,1.392,0.0
1,1,0.002,3,50,4,1,4,64,64,1.398,0.0
1,1,0.002,4,50,4,1,4,64,64,1.399,0.0
1,1,0.002,5,50,4,1,4,64,64,1.303,0.0
1,1,0.002,6,50,4,1,4,64,64,1.394,0.0
1,1,0.002,7,50,4,1,4,64,64,1.394,0.0
1,1,0.002,8,50,4,1,4,64,64,1.387,0.0
1,1,0.002,9,50,4,1,4,64,64,1.414,0.0
1,1,0.002,10,50,4,1,4,64,64,1.381,0.0
1,1,0.002,11,50,4,1,4,64,64,1.396,0.0
1,1,0.002,12,50,4,1,4,64,64,1.402,0.0
1,1,0.002,13,50,4,1,4,64,64,1.392,0.0
1,1,0.002,14,50,4,1,4,64,64,1.392,0.0
1,1,0.002,15,50,4,1,4,64,64,1.392,0.0
1,1,0.002,16,50,4,1,4,64,64,1.399,0.0
1,1,0.002,17,50,4,1,4,64,64,1.386,0.0
1,1,0.002,18,50,4,1,4,64,64,1.391,0.0
1,1,0.002,19,50,4,1,4,64,64,1.399,0.0
1,1,0.002,20,50,4,1,4,64,64,1.399,0.0
1,1,0.002,21,50,4,1,4,64,64,1.392,0.0
1,1,0.002,22,50,4,1,4,64,64,1.39,0.0
1,1,0.002,23,50,4,1,4,64,64,1.39,0.0
1,1,0.002,24,50,4,1,4,64,64,1.398,0.0
1,1,0.002,25,50,4,1,4,64,64,1.4,0.0
1,1,0.002,26,50,4,1,4,64,64,1.39,0.0
1,1,0.002,27,50,4,1,4,64,64,1.396,0.0
1,1,0.002,28,50,4,1,4,64,64,1.395,0.0
1,1,0.002,29,50,4,1,4,64,64,1.394,0.0
1,1,0.002,30,50,4,1,4,64,64,1.392,0.0
1,1,0.002,31,50,4,1,4,64,64,1.399,0.0
1,1,0.002,32,50,4,1,4,64,64,1.396,0.0
1,1,0.002,33,50,4,1,4,64,64,1.395,0.0
1,1,0.002,34,50,4,1,4,64,64,1.404,0.0
1,1,0.002,35,50,4,1,4,64,64,1.385,0.0
1,1,0.002,36,50,4,1,4,64,64,1.379,0.0
1,1,0.002,37,50,4,1,4,64,64,1.394,0.0
1,1,0.002,38,50,4,1,4,64,64,1.397,0.0
1,1,0.002,39,50,4,1,4,64,64,1.402,0.0
1,1,0.002,40,50,4,1,4,64,64,1.388,0.0
1,1,0.002,41,50,4,1,4,64,64,1.399,0.0
1,1,0.002,42,50,4,1,4,64,64,1.388,0.0
1,1,0.002,43,50,4,1,4,64,64,1.398,0.0
1,1,0.002,44,50,4,1,4,64,64,1.395,0.0
1,1,0.002,45,50,4,1,4,64,64,1.395,0.0
1,1,0.002,46,50,4,1,4,64,64,1.399,0.0
1,1,0.002,47,50,4,1,4,64,64,1.4,0.0
1,1,0.002,48,50,4,1,4,64,64,1.476,0.0
1,1,0.002,49,50,4,1,4,64,64,1.504,0.0
1,1,0.002,50,50,4,1,4,64,64,1.494,0.0
1,1,0.002,1,50,8,1,8,64,64,1.59,0.0
1,1,0.002,2,50,8,1,8,64,64,1.586,0.0
1,1,0.002,3,50,8,1,8,64,64,1.516,0.0
1,1,0.002,4,50,8,1,8,64,64,1.59,0.0
1,1,0.002,5,50,8,1,8,64,64,1.591,0.0
1,1,0.002,6,50,8,1,8,64,64,1.598,0.0
1,1,0.002,7,50,8,1,8,64,64,1.514,0.0
1,1,0.002,8,50,8,1,8,64,64,1.598,0.0
1,1,0.002,9,50,8,1,8,64,64,1.592,0.0
1,1,0.002,10,50,8,1,8,64,64,1.506,0.0
1,1,0.002,11,50,8,1,8,64,64,1.588,0.0
1,1,0.002,12,50,8,1,8,64,64,1.515,0.0
1,1,0.002,13,50,8,1,8,64,64,1.589,0.0
1,1,0.002,14,50,8,1,8,64,64,1.588,0.0
1,1,0.002,15,50,8,1,8,64,64,1.58,0.0
1,1,0.002,16,50,8,1,8,64,64,1.501,0.0
1,1,0.002,17,50,8,1,8,64,64,1.515,0.0
1,1,0.002,18,50,8,1,8,64,64,1.588,0.0
1,1,0.002,19,50,8,1,8,64,64,1.605,0.0
1,1,0.002,20,50,8,1,8,64,64,1.589,0.0
1,1,0.002,21,50,8,1,8,64,64,1.586,0.0
1,1,0.002,22,50,8,1,8,64,64,1.614,0.0
1,1,0.002,23,50,8,1,8,64,64,1.601,0.0
1,1,0.002,24,50,8,1,8,64,64,1.608,0.0
1,1,0.002,25,50,8,1,8,64,64,1.584,0.0
1,1,0.002,26,50,8,1,8,64,64,1.499,0.0
1,1,0.002,27,50,8,1,8,64,64,1.589,0.0
1,1,0.002,28,50,8,1,8,64,64,1.502,0.0
1,1,0.002,29,50,8,1,8,64,64,1.517,0.0
1,1,0.002,30,50,8,1,8,64,64,1.596,0.0
1,1,0.002,31,50,8,1,8,64,64,1.517,0.0
1,1,0.002,32,50,8,1,8,64,64,1.577,0.0
1,1,0.002,33,50,8,1,8,64,64,1.689,0.0
1,1,0.002,34,50,8,1,8,64,64,1.591,0.0
1,1,0.002,35,50,8,1,8,64,64,1.583,0.0
1,1,0.002,36,50,8,1,8,64,64,1.571,0.0
1,1,0.002,37,50,8,1,8,64,64,1.581,0.0
1,1,0.002,38,50,8,1,8,64,64,1.575,0.0
1,1,0.002,39,50,8,1,8,64,64,1.617,0.0
1,1,0.002,40,50,8,1,8,64,64,1.594,0.0
1,1,0.002,41,50,8,1,8,64,64,1.593,0.0
1,1,0.002,42,50,8,1,8,64,64,1.591,0.0
1,1,0.002,43,50,8,1,8,64,64,1.591,0.0
1,1,0.002,44,50,8,1,8,64,64,1.508,0.0
1,1,0.002,45,50,8,1,8,64,64,1.593,0.0
1,1,0.002,46,50,8,1,8,64,64,1.504,0.0
1,1,0.002,47,50,8,1,8,64,64,1.587,0.0
1,1,0.002,48,50,8,1,8,64,64,1.505,0.0
