mode,test id,chunk gap,epochs current,epochs,n_split_vnf2,n_combiner_vnf2,used chunk num,used data length,used data shape,cache time,processing time
1,1,0.002,1,50,2,1,8,2048,"[32.0, 64]",0.015,0.02
1,1,0.002,1,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,2,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,2,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,3,50,2,1,8,2048,"[32.0, 64]",0.014,0.011
1,1,0.002,3,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,4,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,4,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,5,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,5,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,6,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,6,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,7,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,7,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,8,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,8,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,9,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,9,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,10,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,10,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,11,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,11,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,12,50,2,1,8,2048,"[32.0, 64]",0.014,0.011
1,1,0.002,12,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,13,50,2,1,8,2048,"[32.0, 64]",0.016,0.01
1,1,0.002,13,50,2,1,8,2048,"[32.0, 64]",0.015,0.017
1,1,0.002,14,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,14,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,15,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,15,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,16,50,2,1,8,2048,"[32.0, 64]",0.014,0.012
1,1,0.002,16,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,17,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,17,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,18,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,18,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,19,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,19,50,2,1,8,2048,"[32.0, 64]",0.015,0.012
1,1,0.002,20,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,20,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,21,50,2,1,8,2048,"[32.0, 64]",0.014,0.011
1,1,0.002,21,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,22,50,2,1,8,2048,"[32.0, 64]",0.015,0.009
1,1,0.002,22,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,23,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,23,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,24,50,2,1,8,2048,"[32.0, 64]",0.015,0.01
1,1,0.002,24,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,25,50,2,1,8,2048,"[32.0, 64]",0.014,0.01
1,1,0.002,25,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
1,1,0.002,26,50,2,1,8,2048,"[32.0, 64]",0.014,0.009
