mode,test id,chunk gap,epochs current,epochs,n_split_vnf0,n_combiner_vnf0,used chunk num,used data length,used data shape,cache time,processing time
1,1,0.002,1,50,2,1,384,98304,"[32.0, 3072]",0.808,0.654
1,1,0.002,1,50,2,1,384,98304,"[32.0, 3072]",0.801,0.449
1,1,0.002,2,50,2,1,384,98304,"[32.0, 3072]",0.799,0.646
1,1,0.002,2,50,2,1,384,98304,"[32.0, 3072]",0.802,0.451
1,1,0.002,3,50,2,1,384,98304,"[32.0, 3072]",0.804,0.641
1,1,0.002,3,50,2,1,384,98304,"[32.0, 3072]",0.802,0.447
1,1,0.002,4,50,2,1,384,98304,"[32.0, 3072]",0.803,0.64
1,1,0.002,4,50,2,1,384,98304,"[32.0, 3072]",0.801,0.448
1,1,0.002,5,50,2,1,384,98304,"[32.0, 3072]",0.808,0.644
1,1,0.002,5,50,2,1,384,98304,"[32.0, 3072]",0.748,0.431
1,1,0.002,6,50,2,1,384,98304,"[32.0, 3072]",0.801,0.649
1,1,0.002,6,50,2,1,384,98304,"[32.0, 3072]",0.834,0.43
1,1,0.002,7,50,2,1,384,98304,"[32.0, 3072]",0.8,0.644
1,1,0.002,7,50,2,1,384,98304,"[32.0, 3072]",0.804,0.538
1,1,0.002,8,50,2,1,384,98304,"[32.0, 3072]",0.817,0.65
1,1,0.002,8,50,2,1,384,98304,"[32.0, 3072]",0.81,0.45
1,1,0.002,9,50,2,1,384,98304,"[32.0, 3072]",0.804,0.644
1,1,0.002,9,50,2,1,384,98304,"[32.0, 3072]",0.821,0.437
1,1,0.002,10,50,2,1,384,98304,"[32.0, 3072]",0.8,0.661
1,1,0.002,10,50,2,1,384,98304,"[32.0, 3072]",0.821,0.433
1,1,0.002,11,50,2,1,384,98304,"[32.0, 3072]",0.813,0.667
1,1,0.002,11,50,2,1,384,98304,"[32.0, 3072]",0.816,0.458
1,1,0.002,12,50,2,1,384,98304,"[32.0, 3072]",0.818,0.65
1,1,0.002,12,50,2,1,384,98304,"[32.0, 3072]",0.8,0.475
1,1,0.002,13,50,2,1,384,98304,"[32.0, 3072]",0.819,0.647
1,1,0.002,13,50,2,1,384,98304,"[32.0, 3072]",0.738,0.445
1,1,0.002,14,50,2,1,384,98304,"[32.0, 3072]",0.807,0.639
1,1,0.002,14,50,2,1,384,98304,"[32.0, 3072]",0.825,0.429
1,1,0.002,15,50,2,1,384,98304,"[32.0, 3072]",0.822,0.649
1,1,0.002,15,50,2,1,384,98304,"[32.0, 3072]",0.799,0.45
1,1,0.002,16,50,2,1,384,98304,"[32.0, 3072]",0.803,0.648
1,1,0.002,16,50,2,1,384,98304,"[32.0, 3072]",0.732,0.444
1,1,0.002,17,50,2,1,384,98304,"[32.0, 3072]",0.802,0.644
1,1,0.002,17,50,2,1,384,98304,"[32.0, 3072]",0.8,0.452
1,1,0.002,18,50,2,1,384,98304,"[32.0, 3072]",0.8,0.648
1,1,0.002,18,50,2,1,384,98304,"[32.0, 3072]",0.809,0.445
1,1,0.002,19,50,2,1,384,98304,"[32.0, 3072]",0.804,0.643
1,1,0.002,19,50,2,1,384,98304,"[32.0, 3072]",0.803,0.466
1,1,0.002,20,50,2,1,384,98304,"[32.0, 3072]",0.8,0.642
1,1,0.002,20,50,2,1,384,98304,"[32.0, 3072]",0.806,0.454
1,1,0.002,21,50,2,1,384,98304,"[32.0, 3072]",0.811,0.636
1,1,0.002,21,50,2,1,384,98304,"[32.0, 3072]",0.817,0.442
1,1,0.002,22,50,2,1,384,98304,"[32.0, 3072]",0.811,0.641
1,1,0.002,22,50,2,1,384,98304,"[32.0, 3072]",0.811,0.442
1,1,0.002,23,50,2,1,384,98304,"[32.0, 3072]",0.802,0.663
1,1,0.002,23,50,2,1,384,98304,"[32.0, 3072]",0.816,0.439
1,1,0.002,24,50,2,1,384,98304,"[32.0, 3072]",0.83,0.669
1,1,0.002,24,50,2,1,384,98304,"[32.0, 3072]",0.819,0.435
1,1,0.002,25,50,2,1,384,98304,"[32.0, 3072]",0.83,0.684
1,1,0.002,25,50,2,1,384,98304,"[32.0, 3072]",0.741,0.436
1,1,0.002,26,50,2,1,384,98304,"[32.0, 3072]",0.803,0.643
1,1,0.002,26,50,2,1,384,98304,"[32.0, 3072]",0.799,0.454
1,1,0.002,27,50,2,1,384,98304,"[32.0, 3072]",0.827,0.621
1,1,0.002,27,50,2,1,384,98304,"[32.0, 3072]",0.811,0.447
1,1,0.002,28,50,2,1,384,98304,"[32.0, 3072]",0.811,0.644
1,1,0.002,28,50,2,1,384,98304,"[32.0, 3072]",0.739,0.44
1,1,0.002,29,50,2,1,384,98304,"[32.0, 3072]",0.837,0.641
1,1,0.002,29,50,2,1,384,98304,"[32.0, 3072]",0.804,0.452
1,1,0.002,30,50,2,1,384,98304,"[32.0, 3072]",0.8,0.649
1,1,0.002,30,50,2,1,384,98304,"[32.0, 3072]",0.801,0.447
1,1,0.002,31,50,2,1,384,98304,"[32.0, 3072]",0.817,0.633
1,1,0.002,31,50,2,1,384,98304,"[32.0, 3072]",0.794,0.402
1,1,0.002,32,50,2,1,384,98304,"[32.0, 3072]",0.799,0.64
