mode,test id,chunk gap,epochs current,epochs,n_split_vnf1,n_combiner_vnf1,used chunk num,used data length,used data shape,cache time,processing time
1,1,0.002,1,50,2,1,32,8192,"[32.0, 256]",0.08,0.04
1,1,0.002,1,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,2,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,2,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,3,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,3,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,4,50,2,1,32,8192,"[32.0, 256]",0.065,0.035
1,1,0.002,4,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,5,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,5,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,6,50,2,1,32,8192,"[32.0, 256]",0.067,0.036
1,1,0.002,6,50,2,1,32,8192,"[32.0, 256]",0.069,0.033
1,1,0.002,7,50,2,1,32,8192,"[32.0, 256]",0.065,0.035
1,1,0.002,7,50,2,1,32,8192,"[32.0, 256]",0.066,0.033
1,1,0.002,8,50,2,1,32,8192,"[32.0, 256]",0.083,0.037
1,1,0.002,8,50,2,1,32,8192,"[32.0, 256]",0.07,0.036
1,1,0.002,9,50,2,1,32,8192,"[32.0, 256]",0.066,0.038
1,1,0.002,9,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,10,50,2,1,32,8192,"[32.0, 256]",0.079,0.037
1,1,0.002,10,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,11,50,2,1,32,8192,"[32.0, 256]",0.095,0.037
1,1,0.002,11,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,12,50,2,1,32,8192,"[32.0, 256]",0.082,0.036
1,1,0.002,12,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,13,50,2,1,32,8192,"[32.0, 256]",0.08,0.037
1,1,0.002,13,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,14,50,2,1,32,8192,"[32.0, 256]",0.066,0.036
1,1,0.002,14,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,15,50,2,1,32,8192,"[32.0, 256]",0.084,0.036
1,1,0.002,15,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,16,50,2,1,32,8192,"[32.0, 256]",0.078,0.038
1,1,0.002,16,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,17,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,17,50,2,1,32,8192,"[32.0, 256]",0.064,0.034
1,1,0.002,18,50,2,1,32,8192,"[32.0, 256]",0.066,0.044
1,1,0.002,18,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,19,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,19,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,20,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,20,50,2,1,32,8192,"[32.0, 256]",0.068,0.033
1,1,0.002,21,50,2,1,32,8192,"[32.0, 256]",0.066,0.036
1,1,0.002,21,50,2,1,32,8192,"[32.0, 256]",0.068,0.034
1,1,0.002,22,50,2,1,32,8192,"[32.0, 256]",0.071,0.036
1,1,0.002,22,50,2,1,32,8192,"[32.0, 256]",0.073,0.033
1,1,0.002,23,50,2,1,32,8192,"[32.0, 256]",0.077,0.041
1,1,0.002,23,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,24,50,2,1,32,8192,"[32.0, 256]",0.109,0.037
1,1,0.002,24,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,25,50,2,1,32,8192,"[32.0, 256]",0.124,0.036
1,1,0.002,25,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,26,50,2,1,32,8192,"[32.0, 256]",0.064,0.036
1,1,0.002,26,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,27,50,2,1,32,8192,"[32.0, 256]",0.064,0.036
1,1,0.002,27,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,28,50,2,1,32,8192,"[32.0, 256]",0.074,0.036
1,1,0.002,28,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,29,50,2,1,32,8192,"[32.0, 256]",0.087,0.036
1,1,0.002,29,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,30,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,30,50,2,1,32,8192,"[32.0, 256]",0.064,0.032
1,1,0.002,31,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,31,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,32,50,2,1,32,8192,"[32.0, 256]",0.064,0.036
1,1,0.002,32,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,33,50,2,1,32,8192,"[32.0, 256]",0.064,0.036
1,1,0.002,33,50,2,1,32,8192,"[32.0, 256]",0.073,0.034
1,1,0.002,34,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,34,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,35,50,2,1,32,8192,"[32.0, 256]",0.071,0.036
1,1,0.002,35,50,2,1,32,8192,"[32.0, 256]",0.066,0.033
1,1,0.002,36,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,36,50,2,1,32,8192,"[32.0, 256]",0.065,0.033
1,1,0.002,37,50,2,1,32,8192,"[32.0, 256]",0.135,0.036
1,1,0.002,37,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,38,50,2,1,32,8192,"[32.0, 256]",0.065,0.048
1,1,0.002,38,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,39,50,2,1,32,8192,"[32.0, 256]",0.085,0.036
1,1,0.002,39,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,40,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,40,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,41,50,2,1,32,8192,"[32.0, 256]",0.118,0.036
1,1,0.002,41,50,2,1,32,8192,"[32.0, 256]",0.064,0.035
1,1,0.002,42,50,2,1,32,8192,"[32.0, 256]",0.076,0.036
1,1,0.002,42,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,43,50,2,1,32,8192,"[32.0, 256]",0.065,0.035
1,1,0.002,43,50,2,1,32,8192,"[32.0, 256]",0.069,0.033
1,1,0.002,44,50,2,1,32,8192,"[32.0, 256]",0.065,0.037
1,1,0.002,44,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,45,50,2,1,32,8192,"[32.0, 256]",0.065,0.036
1,1,0.002,45,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,46,50,2,1,32,8192,"[32.0, 256]",0.124,0.036
1,1,0.002,46,50,2,1,32,8192,"[32.0, 256]",0.064,0.033
1,1,0.002,47,50,2,1,32,8192,"[32.0, 256]",0.068,0.036
