mode,test id,chunk gap,epochs current,epochs,n_split_vnf0,n_combiner_vnf0,used chunk num,used data length,used data shape,cache time,processing time
1,3,0.002,1,50,1,1,768,196608,"[64.0, 3072]",1.616,0.891
1,3,0.002,2,50,1,1,768,196608,"[64.0, 3072]",1.603,0.899
1,3,0.002,3,50,1,1,768,196608,"[64.0, 3072]",1.61,0.896
1,3,0.002,4,50,1,1,768,196608,"[64.0, 3072]",1.676,0.946
1,3,0.002,5,50,1,1,768,196608,"[64.0, 3072]",1.655,0.94
1,3,0.002,6,50,1,1,768,196608,"[64.0, 3072]",1.641,0.869
1,3,0.002,7,50,1,1,768,196608,"[64.0, 3072]",1.628,0.898
1,3,0.002,8,50,1,1,768,196608,"[64.0, 3072]",1.603,0.898
1,3,0.002,9,50,1,1,768,196608,"[64.0, 3072]",1.62,0.885
1,3,0.002,10,50,1,1,768,196608,"[64.0, 3072]",1.642,0.911
1,3,0.002,11,50,1,1,768,196608,"[64.0, 3072]",1.626,0.961
1,3,0.002,12,50,1,1,768,196608,"[64.0, 3072]",1.611,1.017
1,3,0.002,13,50,1,1,768,196608,"[64.0, 3072]",1.605,0.897
1,3,0.002,14,50,1,1,768,196608,"[64.0, 3072]",1.618,0.889
1,3,0.002,15,50,1,1,768,196608,"[64.0, 3072]",1.633,0.878
1,3,0.002,16,50,1,1,768,196608,"[64.0, 3072]",1.635,0.872
1,3,0.002,17,50,1,1,768,196608,"[64.0, 3072]",1.628,0.893
1,3,0.002,18,50,1,1,768,196608,"[64.0, 3072]",1.607,0.906
1,3,0.002,19,50,1,1,768,196608,"[64.0, 3072]",1.603,0.91
1,3,0.002,20,50,1,1,768,196608,"[64.0, 3072]",1.613,0.945
1,3,0.002,21,50,1,1,768,196608,"[64.0, 3072]",1.634,0.889
1,3,0.002,22,50,1,1,768,196608,"[64.0, 3072]",1.65,0.87
1,3,0.002,23,50,1,1,768,196608,"[64.0, 3072]",1.605,0.893
1,3,0.002,24,50,1,1,768,196608,"[64.0, 3072]",1.604,0.895
1,3,0.002,25,50,1,1,768,196608,"[64.0, 3072]",1.674,0.942
1,3,0.002,26,50,1,1,768,196608,"[64.0, 3072]",1.626,0.884
1,3,0.002,27,50,1,1,768,196608,"[64.0, 3072]",1.623,0.88
1,3,0.002,28,50,1,1,768,196608,"[64.0, 3072]",1.601,0.898
1,3,0.002,29,50,1,1,768,196608,"[64.0, 3072]",1.602,0.99
1,3,0.002,30,50,1,1,768,196608,"[64.0, 3072]",1.631,0.88
1,3,0.002,31,50,1,1,768,196608,"[64.0, 3072]",1.617,0.885
1,3,0.002,32,50,1,1,768,196608,"[64.0, 3072]",1.61,0.9
1,3,0.002,33,50,1,1,768,196608,"[64.0, 3072]",1.603,0.915
1,3,0.002,34,50,1,1,768,196608,"[64.0, 3072]",1.631,0.975
1,3,0.002,35,50,1,1,768,196608,"[64.0, 3072]",1.604,0.933
1,3,0.002,36,50,1,1,768,196608,"[64.0, 3072]",1.623,0.889
1,3,0.002,37,50,1,1,768,196608,"[64.0, 3072]",1.651,0.935
1,3,0.002,38,50,1,1,768,196608,"[64.0, 3072]",1.604,0.923
1,3,0.002,39,50,1,1,768,196608,"[64.0, 3072]",1.607,0.893
1,3,0.002,40,50,1,1,768,196608,"[64.0, 3072]",1.647,0.955
1,3,0.002,41,50,1,1,768,196608,"[64.0, 3072]",1.607,0.92
1,3,0.002,42,50,1,1,768,196608,"[64.0, 3072]",1.656,0.953
1,3,0.002,43,50,1,1,768,196608,"[64.0, 3072]",1.617,0.896
1,3,0.002,44,50,1,1,768,196608,"[64.0, 3072]",1.618,0.884
1,3,0.002,45,50,1,1,768,196608,"[64.0, 3072]",1.639,0.95
1,3,0.002,46,50,1,1,768,196608,"[64.0, 3072]",1.602,0.899
1,3,0.002,47,50,1,1,768,196608,"[64.0, 3072]",1.603,0.986
1,3,0.002,48,50,1,1,768,196608,"[64.0, 3072]",1.625,0.884
1,3,0.002,49,50,1,1,768,196608,"[64.0, 3072]",1.612,0.909
1,3,0.002,50,50,1,1,768,196608,"[64.0, 3072]",1.609,0.901
