epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
50,1,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.127,3.1282
50,2,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.099,3.1001
50,3,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.095,3.0962
50,4,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.199,3.1999
50,5,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.173,3.1747
50,6,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.097,3.0987
50,7,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.21,3.2111
50,8,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.071,3.0722
50,9,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.105,3.1061
50,10,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.204,3.2086
50,11,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.284,3.2854
50,12,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.29,3.2912
50,13,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.075,3.0767
50,14,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.097,3.0987
50,15,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.096,3.0977
50,16,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.092,3.0929
50,17,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.104,3.1053
50,18,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.169,3.1707
50,19,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.195,3.1961
50,20,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.222,3.2228
50,21,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.161,3.162
50,22,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.111,3.1127
50,23,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.072,3.0732
50,24,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.097,3.0966
50,25,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.208,3.2096
50,26,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.083,3.084
50,27,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.085,3.0865
50,28,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.091,3.0921
50,29,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.207,3.2085
50,30,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.088,3.0897
50,31,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.097,3.098
50,32,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.082,3.0838
50,33,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.184,3.1855
50,34,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.2,3.2012
50,35,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.126,3.127
50,36,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.157,3.158
50,37,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.183,3.1845
50,38,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.196,3.1977
50,39,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.089,3.0905
50,40,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.2,3.2014
50,41,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.191,3.193
50,42,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.196,3.1976
50,43,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.095,3.0965
50,44,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.084,3.0854
50,45,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.186,3.1869
50,46,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.096,3.0967
50,47,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.196,3.1973
50,48,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.099,3.1002
50,49,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.183,3.1849
50,50,3,1,0.002,1,1,1,1,1,1,1,1,1,1,3.105,3.1059
