t0,t1
1718909746.4696279,1718909748.4122105
1718909751.7566025,1718909753.4901538
1718909756.8542387,1718909758.5648177
1718909761.965139,1718909763.7136436
1718909767.066483,1718909768.7581055
1718909772.1642926,1718909773.9217103
1718909777.422392,1718909779.1950045
1718909782.548901,1718909784.2349305
1718909787.5544577,1718909789.339164
1718909792.6751206,1718909794.389403
1718909797.7431164,1718909799.4232097
1718909802.761356,1718909804.4914806
1718909807.841515,1718909809.5021589
1718909812.8571572,1718909814.5068645
1718909817.8653398,1718909819.6263561
1718909822.9706368,1718909824.7018347
1718909828.0607636,1718909829.7350495
1718909833.2646072,1718909834.9607565
1718909838.2654204,1718909839.9103293
1718909843.2833114,1718909845.0325022
1718909848.357733,1718909850.0348213
1718909853.4328282,1718909855.1985545
1718909858.5497267,1718909860.311171
1718909863.657386,1718909865.3957098
1718909868.7523782,1718909870.49465
1718909873.8495939,1718909875.6462128
1718909878.9733167,1718909880.7541828
1718909884.065456,1718909885.8480022
1718909889.164902,1718909890.817908
1718909894.1581955,1718909895.9073935
